
SetupTitle, IgVg_mim
PrimitiveTest, I/V Sweep
TestParameter, Measurement.WaitTime.Source.Coeff, 1
TestParameter, Measurement.WaitTime.Source.Offset, 0
TestParameter, Measurement.WaitTime.Monitor.Coeff, 1
TestParameter, Measurement.WaitTime.Monitor.Offset, 0
TestParameter, Function.User.Name, IGabs, IBabs
TestParameter, Function.User.Unit, A, A
TestParameter, Function.User.Definition, abs(IG), abs(IB)
TestParameter, Output.Graph.Enabled, true
TestParameter, Output.Graph.AutoScaling, false
TestParameter, Output.Graph.XAxis.Data, VG
TestParameter, Output.Graph.XAxis.Scale, Linear
TestParameter, Output.Graph.XAxis.Left, -2
TestParameter, Output.Graph.XAxis.Right, 2
TestParameter, Output.Graph.XAxis.RunTimeAutoScale, true
TestParameter, Output.Graph.YAxis.Data, IGabs, IBabs
TestParameter, Output.Graph.YAxis.Scale, Log, Log
TestParameter, Output.Graph.YAxis.Bottom, 1E-15, 1E-15
TestParameter, Output.Graph.YAxis.Top, 0.001, 0.001
TestParameter, Output.Graph.YAxis.Group, , 
TestParameter, Output.Graph.YAxis.RunTimeAutoScale, false, false
TestParameter, Output.List.Data, VG, IG
TestParameter, AutoAnalysis.Interpolation, false
TestParameter, AutoAnalysis.Var2StepCount, 1
TestParameter, AutoAnalysis.Var2StepScript, 
TestParameter, AutoAnalysis.Line1.Enabled, false
TestParameter, AutoAnalysis.Line1.Type, 1
TestParameter, AutoAnalysis.Line1.Fix, True
TestParameter, AutoAnalysis.Line1.YAxis, 0
TestParameter, AutoAnalysis.Line1.Point1.Type, 0
TestParameter, AutoAnalysis.Line1.Point1.XY.X, 
TestParameter, AutoAnalysis.Line1.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.Point2.Type, 0
TestParameter, AutoAnalysis.Line1.Point2.XY.X, 
TestParameter, AutoAnalysis.Line1.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line1.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line1.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line1.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line1.GradientExpr, 0
TestParameter, AutoAnalysis.Line2.Enabled, false
TestParameter, AutoAnalysis.Line2.Type, 1
TestParameter, AutoAnalysis.Line2.Fix, True
TestParameter, AutoAnalysis.Line2.YAxis, 0
TestParameter, AutoAnalysis.Line2.Point1.Type, 0
TestParameter, AutoAnalysis.Line2.Point1.XY.X, 
TestParameter, AutoAnalysis.Line2.Point1.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point1.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point1.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point1.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.Point2.Type, 0
TestParameter, AutoAnalysis.Line2.Point2.XY.X, 
TestParameter, AutoAnalysis.Line2.Point2.XY.Y, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Var, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Condition, 
TestParameter, AutoAnalysis.Line2.Point2.Data.Start, false
TestParameter, AutoAnalysis.Line2.Point2.Data.StartVar, 
TestParameter, AutoAnalysis.Line2.Point2.Data.StartCondition, 
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 02/18/2024 18:49:59
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, 02007c50-1f60-460f-9ec0-6babd872d68f
MetaData, TestRecord.Parameters, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, VG
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.RunTimeAutoScale, true
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, -1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 1.5
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, IGabs, IBabs
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, , 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.RunTimeAutoScale, false, false
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-15, 1E-15
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 0.001, 0.001
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.5
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777216
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelColor, -11513776
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeToColor, -24416
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelStyle, Adjacent
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -16777036
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -39936
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -14336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotStyle, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ChangeColorEnabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MinorTicksValueVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.CursorDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.MarkerDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptFormat, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.InterceptDigits, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Var2LabelVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.ParametersVisible, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridNumberFixity, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.AddsVerticalMargin, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, [VAR1] Unit=SMU3:MP, Name=VG, Direction=Double, Linear/Log=LINEAR, Start=-1.5 V, Stop=1.5 V, Step=20 mV, No. of Steps=151, Compliance=100 mA, Pwr Comp=OFF	[CONSTANTS] Unit=SMU2:HR, Name=VB, Source Mode=V, Source=0 V, Compliance=100 mA
AnalysisSetup, Analysis.Setup.Vector.Graph.SetupInfo, 		2E-05	2E-05	5
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Name, VG, IG
AnalysisSetup, Analysis.Setup.Vector.List.Datum.Unit, V, A
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, true
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, true
AnalysisSetup, Analysis.Setup.Title, IgVg_mim
Dimension1, 302, 302, 302, 302, 302
Dimension2, 1, 1, 1, 1, 1
DataName, VG, IG, IB, IGabs, IBabs
DataValue, -1.5, -1.12853E-06, 1.13018E-06, 1.12853E-06, 1.13018E-06
DataValue, -1.48, -1.05308E-06, 1.0567900000000001E-06, 1.05308E-06, 1.0567900000000001E-06
DataValue, -1.46, -9.82862E-07, 9.81683E-07, 9.82862E-07, 9.81683E-07
DataValue, -1.4400000000000002, -9.14115E-07, 9.14174E-07, 9.14115E-07, 9.14174E-07
DataValue, -1.4200000000000002, -8.67789E-07, 8.67046E-07, 8.67789E-07, 8.67046E-07
DataValue, -1.4000000000000001, -7.87736E-07, 7.86291E-07, 7.87736E-07, 7.86291E-07
DataValue, -1.3800000000000001, -7.27222E-07, 7.28351E-07, 7.27222E-07, 7.28351E-07
DataValue, -1.36, -6.75112E-07, 6.79247E-07, 6.75112E-07, 6.79247E-07
DataValue, -1.34, -6.3145E-07, 6.30541E-07, 6.3145E-07, 6.30541E-07
DataValue, -1.32, -5.82681E-07, 5.82932E-07, 5.82681E-07, 5.82932E-07
DataValue, -1.3, -5.38745E-07, 5.3895399999999994E-07, 5.38745E-07, 5.3895399999999994E-07
DataValue, -1.28, -4.95578E-07, 4.95061E-07, 4.95578E-07, 4.95061E-07
DataValue, -1.26, -4.6075E-07, 4.62283E-07, 4.6075E-07, 4.62283E-07
DataValue, -1.24, -4.26833E-07, 4.24549E-07, 4.26833E-07, 4.24549E-07
DataValue, -1.22, -3.91951E-07, 3.91695E-07, 3.91951E-07, 3.91695E-07
DataValue, -1.2, -3.63206E-07, 3.64684E-07, 3.63206E-07, 3.64684E-07
DataValue, -1.1800000000000002, -3.34328E-07, 3.31377E-07, 3.34328E-07, 3.31377E-07
DataValue, -1.1600000000000001, -3.04504E-07, 3.04151E-07, 3.04504E-07, 3.04151E-07
DataValue, -1.1400000000000001, -2.79975E-07, 2.80553E-07, 2.79975E-07, 2.80553E-07
DataValue, -1.12, -2.57894E-07, 2.5785E-07, 2.57894E-07, 2.5785E-07
DataValue, -1.1, -2.3650199999999998E-07, 2.3622399999999999E-07, 2.3650199999999998E-07, 2.3622399999999999E-07
DataValue, -1.08, -2.16449E-07, 2.13569E-07, 2.16449E-07, 2.13569E-07
DataValue, -1.06, -1.94909E-07, 1.94979E-07, 1.94909E-07, 1.94979E-07
DataValue, -1.04, -1.78247E-07, 1.7833E-07, 1.78247E-07, 1.7833E-07
DataValue, -1.02, -1.62416E-07, 1.6172E-07, 1.62416E-07, 1.6172E-07
DataValue, -1, -1.47567E-07, 1.4771E-07, 1.47567E-07, 1.4771E-07
DataValue, -0.98000000000000009, -1.34499E-07, 1.34287E-07, 1.34499E-07, 1.34287E-07
DataValue, -0.96000000000000008, -1.21946E-07, 1.22003E-07, 1.21946E-07, 1.22003E-07
DataValue, -0.94000000000000006, -1.1043199999999999E-07, 1.09648E-07, 1.1043199999999999E-07, 1.09648E-07
DataValue, -0.92, -9.90354E-08, 9.8869899999999993E-08, 9.90354E-08, 9.8869899999999993E-08
DataValue, -0.9, -8.87867E-08, 8.942759999999999E-08, 8.87867E-08, 8.942759999999999E-08
DataValue, -0.88, -7.995E-08, 8.0227E-08, 7.995E-08, 8.0227E-08
DataValue, -0.86, -7.17264E-08, 7.14324E-08, 7.17264E-08, 7.14324E-08
DataValue, -0.84000000000000008, -6.39161E-08, 6.36215E-08, 6.39161E-08, 6.36215E-08
DataValue, -0.82000000000000006, -5.6387899999999996E-08, 5.639E-08, 5.6387899999999996E-08, 5.639E-08
DataValue, -0.8, -4.9912399999999992E-08, 4.9508699999999994E-08, 4.9912399999999992E-08, 4.9508699999999994E-08
DataValue, -0.78, -4.3810899999999996E-08, 4.40087E-08, 4.3810899999999996E-08, 4.40087E-08
DataValue, -0.76, -3.9773699999999993E-08, 3.9553299999999993E-08, 3.9773699999999993E-08, 3.9553299999999993E-08
DataValue, -0.74, -3.43588E-08, 3.44208E-08, 3.43588E-08, 3.44208E-08
DataValue, -0.72000000000000008, -3.01579E-08, 3.0297099999999995E-08, 3.01579E-08, 3.0297099999999995E-08
DataValue, -0.70000000000000007, -2.6782899999999997E-08, 2.67647E-08, 2.6782899999999997E-08, 2.67647E-08
DataValue, -0.68, -2.3529299999999998E-08, 2.3605699999999997E-08, 2.3529299999999998E-08, 2.3605699999999997E-08
DataValue, -0.66, -2.0812299999999998E-08, 2.1199299999999996E-08, 2.0812299999999998E-08, 2.1199299999999996E-08
DataValue, -0.64, -1.8287499999999997E-08, 1.82923E-08, 1.8287499999999997E-08, 1.82923E-08
DataValue, -0.62, -1.60873E-08, 1.60784E-08, 1.60873E-08, 1.60784E-08
DataValue, -0.6, -1.41526E-08, 1.4129799999999999E-08, 1.41526E-08, 1.4129799999999999E-08
DataValue, -0.58000000000000007, -1.2433199999999999E-08, 1.2432799999999999E-08, 1.2433199999999999E-08, 1.2432799999999999E-08
DataValue, -0.56, -1.0873899999999998E-08, 1.08835E-08, 1.0873899999999998E-08, 1.08835E-08
DataValue, -0.54, -9.50309E-09, 9.49227E-09, 9.50309E-09, 9.49227E-09
DataValue, -0.52, -8.31376E-09, 8.29796E-09, 8.31376E-09, 8.29796E-09
DataValue, -0.5, -7.3323E-09, 7.40592E-09, 7.3323E-09, 7.40592E-09
DataValue, -0.48000000000000004, -6.5906999999999996E-09, 6.64215E-09, 6.5906999999999996E-09, 6.64215E-09
DataValue, -0.46, -5.75184E-09, 5.70114E-09, 5.75184E-09, 5.70114E-09
DataValue, -0.44, -4.86311E-09, 4.97279E-09, 4.86311E-09, 4.97279E-09
DataValue, -0.42000000000000004, -4.1929E-09, 4.07043E-09, 4.1929E-09, 4.07043E-09
DataValue, -0.4, -3.74153E-09, 3.73597E-09, 3.74153E-09, 3.73597E-09
DataValue, -0.38, -3.23252E-09, 3.06694E-09, 3.23252E-09, 3.06694E-09
DataValue, -0.36000000000000004, -2.56981E-09, 2.57836E-09, 2.56981E-09, 2.57836E-09
DataValue, -0.34, -2.17936E-09, 2.17768E-09, 2.17936E-09, 2.17768E-09
DataValue, -0.32, -1.83477E-09, 1.83757E-09, 1.83477E-09, 1.83757E-09
DataValue, -0.3, -1.52964E-09, 1.53172E-09, 1.52964E-09, 1.53172E-09
DataValue, -0.28, -1.27985E-09, 1.28358E-09, 1.27985E-09, 1.28358E-09
DataValue, -0.26, -1.04736E-09, 1.06138E-09, 1.04736E-09, 1.06138E-09
DataValue, -0.24000000000000002, -8.63892E-10, 8.60469E-10, 8.63892E-10, 8.60469E-10
DataValue, -0.22, -7.12784E-10, 7.16036E-10, 7.12784E-10, 7.16036E-10
DataValue, -0.2, -5.7864100000000009E-10, 5.7812100000000008E-10, 5.7864100000000009E-10, 5.7812100000000008E-10
DataValue, -0.18000000000000002, -5.16894E-10, 5.1412000000000008E-10, 5.16894E-10, 5.1412000000000008E-10
DataValue, -0.16, -4.10347E-10, 4.09607E-10, 4.10347E-10, 4.09607E-10
DataValue, -0.14, -3.22439E-10, 3.2161600000000004E-10, 3.22439E-10, 3.2161600000000004E-10
DataValue, -0.12000000000000001, -2.4614600000000004E-10, 2.67542E-10, 2.4614600000000004E-10, 2.67542E-10
DataValue, -0.1, -2.3373600000000003E-10, 2.33245E-10, 2.3373600000000003E-10, 2.33245E-10
DataValue, -0.08, -1.73312E-10, 1.71905E-10, 1.73312E-10, 1.71905E-10
DataValue, -0.060000000000000005, -1.21921E-10, 1.2294000000000002E-10, 1.21921E-10, 1.2294000000000002E-10
DataValue, -0.04, -7.8727000000000009E-11, 7.847400000000001E-11, 7.8727000000000009E-11, 7.847400000000001E-11
DataValue, -0.02, -3.6946000000000004E-11, 3.6718000000000006E-11, 3.6946000000000004E-11, 3.6718000000000006E-11
DataValue, 0, 8.8300000000000007E-13, -8.96E-13, 8.8300000000000007E-13, 8.96E-13
DataValue, 0.02, 3.9549000000000006E-11, -3.9466000000000005E-11, 3.9549000000000006E-11, 3.9466000000000005E-11
DataValue, 0.04, 8.1362000000000008E-11, -8.1442000000000009E-11, 8.1362000000000008E-11, 8.1442000000000009E-11
DataValue, 0.060000000000000005, 1.29912E-10, -1.29236E-10, 1.29912E-10, 1.29236E-10
DataValue, 0.08, 1.8975900000000002E-10, -1.8825300000000002E-10, 1.8975900000000002E-10, 1.8825300000000002E-10
DataValue, 0.1, 2.6221300000000004E-10, -2.6207900000000003E-10, 2.6221300000000004E-10, 2.6207900000000003E-10
DataValue, 0.12000000000000001, 3.6127700000000004E-10, -3.5948700000000004E-10, 3.6127700000000004E-10, 3.5948700000000004E-10
DataValue, 0.14, 4.7048E-10, -4.69795E-10, 4.7048E-10, 4.69795E-10
DataValue, 0.16, 6.1623000000000005E-10, -6.1775000000000006E-10, 6.1623000000000005E-10, 6.1775000000000006E-10
DataValue, 0.18000000000000002, 8.04147E-10, -8.0457100000000005E-10, 8.04147E-10, 8.0457100000000005E-10
DataValue, 0.2, 1.05084E-09, -1.0467800000000002E-09, 1.05084E-09, 1.0467800000000002E-09
DataValue, 0.22, 1.34916E-09, -1.34926E-09, 1.34916E-09, 1.34926E-09
DataValue, 0.24000000000000002, 1.66544E-09, -1.66247E-09, 1.66544E-09, 1.66247E-09
DataValue, 0.26, 1.96881E-09, -1.9672E-09, 1.96881E-09, 1.9672E-09
DataValue, 0.28, 2.42566E-09, -2.41924E-09, 2.42566E-09, 2.41924E-09
